user_id,age,gender,weight,height,bmi,goal,sleep_hours,sleep_quality,bedtime_hour,wake_time,fatigue_level,steps_walked,exercise_minutes,exercise_type,calories_burned,heart_rate_avg,calories_intake,protein_intake,junk_food_freq,water_intake,meal_frequency,stress_level,mood,screen_time,work_hours,social_interaction,meditation_minutes,hair_condition,skin_condition,sun_exposure,water_quality,workout_plan,diet_plan,lifestyle_change,mental_care,hair_skin_care
U0001,24,Female,64,178,20.2,maintain,7.9,5,22,5,7,5426,10,mixed,472,95,2371,53,2,1.1,3,8,6,3,11,low,0,4,2,5,good,Moderate Workout,Balanced Diet,None,Meditation,Hydration
U0002,29,Male,91,176,29.4,stress_relief,5.5,3,0,7,4,2528,2,cardio,406,66,1520,102,6,1.0,2,2,10,2,5,low,1,4,4,3,poor,Weight Loss Workout,Balanced Diet,Improve Sleep,None,Hydration
U0003,29,Male,96,157,38.9,maintain,8.5,4,22,6,4,4073,5,strength,205,63,3345,122,6,3.5,5,2,10,7,7,medium,15,4,1,5,good,Weight Loss Workout,Low Carb,None,None,Skin Care
U0004,33,Male,96,167,34.4,weight_loss,6.9,1,0,8,9,6276,14,cardio,164,84,3362,38,0,1.6,5,3,1,9,6,high,0,3,5,1,poor,Weight Loss Workout,Low Carb,Reduce Screen Time,Relaxation,Hydration
U0005,43,Male,56,177,17.9,weight_loss,7.1,2,21,5,7,3454,23,cardio,198,103,3395,115,2,2.7,4,5,3,2,8,medium,22,3,1,1,average,Strength Training,Low Carb,None,Relaxation,Skin Care
U0006,45,Male,88,181,26.9,weight_loss,5.6,4,1,8,7,7892,14,none,128,95,2024,61,6,1.9,3,2,10,6,9,low,20,4,4,3,average,Weight Loss Workout,Balanced Diet,Improve Sleep,None,Hydration
U0007,47,Male,74,177,23.6,maintain,8.5,1,21,4,9,11867,12,cardio,358,98,2209,101,2,2.3,2,1,3,3,7,high,26,1,4,0,average,Moderate Workout,Balanced Diet,None,Relaxation,Maintain Routine
U0008,34,Female,88,161,33.9,muscle_gain,7.6,5,21,5,1,1698,48,strength,229,87,3089,116,4,2.0,2,3,2,6,7,medium,5,4,3,2,good,Weight Loss Workout,Low Carb,None,Relaxation,Maintain Routine
U0009,48,Female,54,173,18.0,stress_relief,8.9,3,21,2,6,3511,28,none,247,119,2454,65,2,3.1,4,3,4,9,10,low,0,2,1,2,good,Light Cardio,Balanced Diet,Reduce Screen Time,None,Skin Care
U0010,42,Female,80,172,27.0,muscle_gain,7.5,4,22,6,9,3049,0,mixed,353,71,1952,66,2,1.6,2,3,3,9,11,high,19,1,4,2,good,Weight Loss Workout,Balanced Diet,Reduce Screen Time,Relaxation,Hydration
U0011,25,Female,89,187,25.5,stress_relief,6.9,1,23,4,2,5973,17,strength,409,94,3243,90,0,1.5,5,1,5,9,7,high,2,1,1,3,poor,Weight Loss Workout,Low Carb,Reduce Screen Time,None,Hydration
U0012,36,Female,95,171,32.5,muscle_gain,8.9,5,23,5,8,4354,26,strength,376,89,3132,57,6,2.5,2,3,4,4,11,low,16,4,4,5,good,Weight Loss Workout,Low Carb,None,None,Maintain Routine
U0013,31,Male,84,155,35.0,stress_relief,4.1,5,21,3,5,1606,34,mixed,215,80,2427,116,0,2.0,5,2,9,3,10,medium,25,3,2,5,poor,Weight Loss Workout,Balanced Diet,Improve Sleep,None,Skin Care
U0014,19,Male,91,176,29.4,muscle_gain,5.6,1,21,4,6,8343,38,cardio,269,114,2037,128,1,3.6,2,10,7,2,7,low,19,1,4,2,poor,Weight Loss Workout,Balanced Diet,Improve Sleep,Meditation,Maintain Routine
U0015,32,Female,51,183,15.2,stress_relief,6.9,3,21,3,6,7457,57,strength,404,111,2181,99,6,2.1,5,5,1,9,8,low,6,4,5,3,average,Strength Training,Balanced Diet,Reduce Screen Time,Relaxation,Maintain Routine
U0016,32,Male,65,189,18.2,weight_loss,8.8,2,23,4,8,1830,18,mixed,157,114,2869,130,1,3.9,4,9,5,2,5,medium,0,2,1,4,good,Light Cardio,Low Carb,None,Meditation,Skin Care
